,Unnamed: 0,Institution,Title,Department,STEM,NON-STEM,Ethnea,Genni,AdjSalary,PostdocNum,Associate,Intern,Fellow,Clinical,Trainee,Researcher,Scholar,Senior,Faculty,Assistant,Teaching,NIH_grants,NIH_order,State
189,189,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
190,190,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
191,191,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
192,192,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
193,193,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
194,194,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
195,195,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
196,196,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
197,197,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
198,198,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
199,199,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
200,200,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
201,201,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
202,202,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
203,203,Boston University,Postdoctoral Associate,,,,False,False,50000.04,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
204,204,Boston University,Postdoctoral Associate,,,,False,False,50112,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
205,205,Boston University,Postdoctoral Associate,,,,False,False,50112,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
206,206,Boston University,Postdoctoral Associate,,,,False,False,50199.96,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
207,207,Boston University,Postdoctoral Associate,,,,False,False,50316,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
208,208,Boston University,Post-doctoral Associate,,,,False,False,50412,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
209,209,Boston University,Postdoctoral Associate,,,,False,False,50460,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
210,210,Boston University,Postdoctoral Associate,,,,False,False,51000,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
