,Institution,Title,AdjSalary,PostdocNum,Senior,Fellow,Faculty,Scholar,Assistant,Clinical,Researcher,Teaching,Intern,Trainee,Associate,NIH_grants,NIH_order,NSF,NSF_order,State
159,Boston University,Postdoctoral Associate,48700,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
160,Boston University,Postdoctoral Associate,48800,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
161,Boston University,Postdoctoral Associate,48999.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
162,Boston University,Postdoctoral Associate,48999.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
163,Boston University,Postdoctoral Associate,48999.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
164,Boston University,Postdoctoral Associate,48999.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
165,Boston University,Postdoctoral Associate,49000.08,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
166,Boston University,Postdoctoral Associate,49152,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
167,Boston University,Postdoctoral Associate,49152,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
168,Boston University,Postdoctoral Associate,49200,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
169,Boston University,Postdoctoral Associate,49200,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
170,Boston University,Postdoctoral Associate,49339.92,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
171,Boston University,Postdoctoral Associate,49600,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
172,Boston University,Postdoctoral Associate,49692,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
173,Boston University,Postdoctoral Associate,49692,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
174,Boston University,Postdoctoral Associate,49800,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
175,Boston University,Post Graduate Fellow,49999.92,297,0,1,0,0,0,0,0,0,0,0,0,172328687,6,395921,19,MA
176,Boston University,Postdoctoral Associate,49999.92,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
177,Boston University,Postdoctoral Associate,49999.92,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
178,Boston University,Postdoctoral Associate,49999.92,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
179,Boston University,Postdoctoral Associate,50000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
180,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
181,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
182,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
183,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
184,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
185,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
186,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
187,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
188,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
189,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
190,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
191,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
192,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
193,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
194,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
195,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
196,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
197,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
198,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
199,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
200,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
201,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
202,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
203,Boston University,Postdoctoral Associate,50000.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
204,Boston University,Postdoctoral Associate,50112,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
205,Boston University,Postdoctoral Associate,50112,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
206,Boston University,Postdoctoral Associate,50199.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
207,Boston University,Postdoctoral Associate,50316,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
208,Boston University,Post-doctoral Associate,50412,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
209,Boston University,Postdoctoral Associate,50460,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
210,Boston University,Postdoctoral Associate,51000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
211,Boston University,Postdoctoral Associate,51000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
212,Boston University,Postdoctoral Associate,51000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
213,Boston University,Postdoctoral Associate,51000,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
214,Boston University,Postdoctoral Associate,51399.96,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
215,Boston University,Postdoctoral Associate,51499.92,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
216,Boston University,Postdoctoral Associate,51500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
217,Boston University,Postdoctoral Associate,51500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
218,Boston University,Postdoctoral Associate,51500.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
219,Boston University,Postdoctoral Associate,51500.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
220,Boston University,Postdoctoral Associate,51500.04,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
